user_id,question_id,time_spent_sec,question_difficulty,mcq_correct,past_correct_pct,skill_level
99,15493,27.57,3,1,0.787,2
316,4972,20.2,3,1,0.552,3
348,10961,35.98,3,0,0.338,4
497,17715,23.36,3,0,0.598,3
477,8998,55.81,5,0,0.564,3
221,10620,37.93,4,0,0.454,4
53,5146,23.23,4,0,0.05,5
94,1588,27.12,3,0,0.157,5
186,18182,18.58,1,0,0.292,4
128,2270,23.69,2,0,0.31,4
386,16825,36.5,5,0,0.384,4
414,2886,53.91,3,1,0.778,2
176,19173,40.91,2,1,0.462,4
348,3443,26.48,3,1,0.338,4
181,5883,24.38,2,0,0.122,5
498,16830,20.21,1,0,0.534,3
340,14434,13.86,1,0,0.406,4
267,3215,18.06,2,0,0.33,4
481,9474,77.82,4,0,0.487,4
477,6232,23.68,2,1,0.564,3
402,15451,48.26,4,1,0.465,4
220,14966,55.82,4,0,0.724,3
499,15881,66.31,4,1,0.239,5
147,8303,74.76,4,0,0.459,4
187,17144,31.06,2,1,0.789,2
53,6583,35.5,3,1,0.05,5
128,7241,46.64,4,0,0.31,4
466,5627,96.42,5,1,0.134,5
91,9771,30.68,2,0,0.587,3
122,728,29.38,4,0,0.731,3
228,13063,19.59,1,1,0.326,4
205,946,41.52,5,0,0.521,3
436,15860,18.53,3,1,0.485,4
112,13786,12.37,1,1,0.416,4
165,6632,27.59,2,1,0.584,3
59,19517,45.55,5,1,0.674,3
14,17179,29.78,1,1,0.358,4
49,828,54.3,2,1,0.339,4
209,14793,19.49,2,1,0.065,5
254,5575,74.03,5,0,0.717,3
65,18503,35.01,3,0,0.299,4
344,8593,26.87,3,0,0.542,3
121,6875,45.63,3,0,0.789,2
149,19461,56.11,4,0,0.514,3
292,2410,44.65,3,0,0.84,2
41,3336,27.84,2,1,0.767,2
267,5093,38.13,4,0,0.33,4
159,425,96.86,3,1,0.254,4
324,16876,23.95,2,1,0.715,3
119,14128,24.72,3,1,0.383,4
337,12584,58.11,4,1,0.379,4
71,8738,10.36,1,1,0.518,3
385,19292,34.28,3,1,0.589,3
251,13453,21.48,4,0,0.211,5
142,473,58.27,4,0,0.244,5
494,16145,92.25,5,0,0.384,4
408,428,19.43,2,1,0.332,4
52,5210,22.21,3,1,0.466,4
271,8657,34.15,3,1,0.316,4
164,8719,44.45,3,1,0.475,4
462,6780,27.04,3,0,0.075,5
246,5889,36.93,3,1,0.418,4
282,9763,59.88,4,0,0.453,4
289,4871,22.27,2,1,0.848,2
166,18791,41.46,3,0,0.286,4
169,3370,36.66,3,1,0.484,4
353,8390,22.98,2,0,0.523,3
335,13289,45.66,3,1,0.508,3
319,13772,47.95,3,1,0.673,3
328,19796,28.85,3,1,0.447,4
330,13740,33.58,4,0,0.86,2
174,9312,48.28,4,1,0.758,2
479,4331,60.51,4,0,0.711,3
373,18965,49.25,3,1,0.7,3
75,10793,19.59,3,1,0.499,4
246,7190,31.9,2,1,0.418,4
171,7801,35.79,2,1,0.598,3
23,13404,45.98,4,0,0.635,3
10,5325,14.0,1,1,0.652,3
33,17475,18.14,3,0,0.23,5
473,3553,48.73,4,0,0.573,3
367,84,61.83,3,0,0.309,4
240,9673,50.16,4,1,0.475,4
120,346,48.34,4,0,0.703,3
318,5484,7.99,1,0,0.514,3
197,6857,34.97,3,1,0.667,3
204,3708,31.23,3,1,0.465,4
436,6029,32.78,5,0,0.485,4
451,2467,17.08,2,1,0.793,2
88,15892,38.73,3,1,0.527,3
304,11242,34.29,2,0,0.122,5
384,2368,37.53,2,1,0.467,4
110,10285,8.74,1,1,0.563,3
27,12121,45.59,2,1,0.614,3
147,9392,47.71,5,1,0.459,4
261,22,24.18,3,0,0.859,2
231,2629,55.12,5,0,0.575,3
443,13949,70.84,4,1,0.708,3
267,742,39.4,4,0,0.33,4
319,18904,24.31,2,1,0.673,3
422,10102,38.77,4,1,0.3,4
119,16074,19.0,2,1,0.383,4
327,12453,11.72,2,1,0.396,4
347,15949,69.57,3,1,0.585,3
325,17417,52.19,4,0,0.438,4
8,4841,12.74,1,1,0.824,2
132,3793,21.64,3,1,0.297,4
274,10564,11.79,1,1,0.582,3
28,14317,52.58,3,1,0.604,3
206,19554,33.59,3,1,0.775,2
322,6186,23.4,3,0,0.104,5
309,3515,40.41,3,0,0.606,3
71,3372,25.83,3,0,0.518,3
107,1105,16.92,2,1,0.479,4
436,12655,8.73,1,1,0.485,4
428,3607,33.58,2,0,0.316,4
263,11938,48.15,3,1,0.447,4
496,11318,18.64,1,1,0.683,3
287,9963,14.65,1,1,0.77,2
288,3584,25.65,2,0,0.304,4
208,10568,58.74,4,0,0.143,5
10,14936,18.02,2,0,0.652,3
54,14685,18.09,2,0,0.223,5
215,9404,43.15,4,0,0.117,5
306,5840,41.91,5,1,0.44,4
433,17331,16.22,1,1,0.762,2
473,11776,52.17,3,0,0.573,3
83,17606,36.82,4,1,0.71,3
334,10965,36.29,2,1,0.501,3
453,9211,20.95,2,1,0.729,3
169,10074,50.44,3,1,0.484,4
348,11024,23.1,3,0,0.338,4
59,11990,69.74,5,0,0.674,3
203,12616,47.5,4,1,0.428,4
353,12294,38.03,5,0,0.523,3
272,18010,16.9,2,1,0.529,3
449,429,40.55,3,1,0.697,3
464,6862,43.15,4,0,0.651,3
91,3437,41.2,2,0,0.587,3
77,12501,21.24,2,0,0.464,4
393,2229,21.83,1,0,0.279,4
182,5991,32.86,3,0,0.906,1
238,16028,34.23,3,1,0.633,3
41,17276,21.73,3,1,0.767,2
133,3395,28.96,3,1,0.377,4
221,12236,44.34,3,0,0.454,4
374,3686,26.84,4,1,0.267,4
353,2733,16.68,1,1,0.523,3
138,18917,36.23,5,1,0.578,3
431,18937,35.09,3,0,0.217,5
113,8760,29.29,3,0,0.628,3
289,7355,29.23,2,1,0.848,2
389,19354,46.04,3,1,0.377,4
99,18365,35.12,3,0,0.787,2
121,11124,25.68,3,1,0.789,2
96,5431,38.16,3,1,0.578,3
122,4504,38.81,4,1,0.731,3
470,4404,98.6,4,0,0.341,4
434,19642,24.13,2,1,0.349,4
396,1067,17.28,3,1,0.405,4
467,15711,20.69,2,1,0.505,3
324,6889,15.17,1,1,0.715,3
264,1802,9.95,1,1,0.449,4
255,8264,11.04,1,1,0.424,4
338,6073,17.77,3,1,0.252,4
330,5499,59.13,4,1,0.86,2
14,9892,28.06,2,1,0.358,4
284,14341,53.27,5,1,0.746,3
429,13488,46.46,3,0,0.575,3
464,6549,12.33,1,0,0.651,3
150,5707,53.37,4,0,0.785,2
174,15808,27.57,3,0,0.758,2
379,5410,49.37,3,0,0.378,4
330,4101,68.31,5,0,0.86,2
4,870,24.0,1,1,0.404,4
2,14749,76.58,4,0,0.223,5
131,2509,50.47,4,0,0.499,4
165,11107,43.27,4,0,0.584,3
15,3239,23.6,2,0,0.81,2
39,19877,16.95,1,1,0.483,4
70,381,37.19,3,0,0.166,5
200,18974,45.77,4,0,0.661,3
227,13983,19.72,2,1,0.412,4
241,16579,26.68,4,0,0.255,4
75,5132,19.26,1,1,0.499,4
114,13221,28.05,3,1,0.65,3
399,6919,31.05,3,1,0.58,3
215,16571,21.15,2,0,0.117,5
488,6731,29.0,2,0,0.384,4
397,19210,17.06,2,1,0.621,3
300,11480,27.3,3,1,0.23,5
121,15196,37.51,2,1,0.789,2
360,9276,28.63,3,1,0.763,2
493,12858,18.26,2,1,0.599,3
388,15624,14.73,2,1,0.5,3
474,11004,41.23,2,1,0.533,3
410,2532,13.38,1,1,0.213,5
369,6804,31.19,2,0,0.572,3
442,3448,29.41,2,1,0.44,4
244,5842,27.41,3,1,0.798,2
135,11265,19.85,2,1,0.504,3
77,5089,34.29,2,1,0.464,4
421,10708,47.89,3,0,0.45,4
158,10977,17.73,1,1,0.596,3
125,11213,37.75,3,1,0.726,3
169,19546,83.98,5,0,0.484,4
14,17814,52.32,4,0,0.358,4
26,11097,66.42,4,0,0.313,4
325,34,39.49,3,0,0.438,4
482,8526,42.89,3,0,0.189,5
312,8308,15.05,2,0,0.508,3
194,6459,48.22,3,1,0.571,3
106,13684,10.01,1,1,0.384,4
360,1823,15.06,1,1,0.763,2
371,15326,40.31,5,0,0.192,5
238,1386,16.81,1,0,0.633,3
429,18390,36.3,4,1,0.575,3
195,14983,23.38,2,1,0.544,3
281,16230,19.89,1,1,0.52,3
470,18948,30.03,2,1,0.341,4
453,6811,45.33,4,0,0.729,3
240,8414,25.59,2,1,0.475,4
359,7426,38.64,2,1,0.607,3
480,13663,42.51,3,1,0.68,3
123,3082,35.74,4,0,0.629,3
148,11262,24.4,2,0,0.37,4
49,15035,31.3,4,0,0.339,4
40,18767,39.75,5,0,0.662,3
197,4499,36.31,3,0,0.667,3
378,17743,32.83,3,0,0.218,5
352,6607,56.9,5,1,0.506,3
326,814,42.09,4,1,0.475,4
169,4314,30.04,2,0,0.484,4
288,6100,25.34,3,1,0.304,4
83,8469,25.99,2,1,0.71,3
402,9475,33.96,4,0,0.465,4
186,17132,40.01,5,0,0.292,4
443,15633,43.85,3,0,0.708,3
364,19578,38.96,3,0,0.524,3
50,2926,33.6,2,1,0.532,3
232,1869,33.86,3,0,0.663,3
399,1588,32.95,3,0,0.58,3
303,18732,75.22,5,0,0.936,1
91,15688,82.16,3,1,0.587,3
172,8276,10.5,2,1,0.853,2
49,7671,24.06,5,0,0.339,4
152,844,40.99,3,0,0.41,4
392,4803,27.57,2,1,0.291,4
254,11669,37.23,3,1,0.717,3
396,17982,67.74,4,0,0.405,4
124,17095,31.32,2,1,0.695,3
284,18086,50.53,4,0,0.746,3
266,18672,37.26,4,0,0.672,3
9,714,21.77,2,1,0.915,1
330,18094,20.89,3,1,0.86,2
167,14060,81.16,4,1,0.406,4
197,1175,8.7,1,0,0.667,3
105,9537,24.01,3,1,0.441,4
104,9618,31.35,2,1,0.596,3
307,17280,67.32,4,1,0.5,4
396,4820,7.62,1,0,0.405,4
355,12688,34.76,3,1,0.585,3
127,11036,47.22,3,0,0.365,4
398,12078,36.09,2,1,0.501,3
169,135,35.07,4,0,0.484,4
360,5450,28.25,3,1,0.763,2
230,18000,31.88,2,0,0.249,5
469,12390,34.21,1,1,0.548,3
310,19303,21.41,1,0,0.696,3
352,12409,16.1,2,1,0.506,3
497,9909,42.07,3,0,0.598,3
189,9928,58.17,3,1,0.142,5
106,4096,36.32,2,1,0.384,4
83,6652,22.21,2,0,0.71,3
486,12517,33.12,3,0,0.829,2
463,6917,38.14,3,1,0.39,4
282,4008,30.47,2,1,0.453,4
273,17291,40.08,3,1,0.238,5
15,14824,35.85,2,1,0.81,2
29,5118,29.19,3,0,0.443,4
292,5931,34.75,3,1,0.84,2
239,456,16.26,2,1,0.568,3
388,18047,48.82,4,1,0.5,3
254,9888,24.24,2,1,0.717,3
148,17566,39.94,4,0,0.37,4
283,18136,15.33,2,1,0.535,3
17,19263,47.24,2,1,0.276,4
64,17945,29.77,4,1,0.463,4
398,17559,46.78,5,1,0.501,3
436,9694,15.58,1,1,0.485,4
36,5652,50.66,4,0,0.232,5
3,10662,8.61,1,0,0.145,5
183,2208,99.83,4,1,0.402,4
42,680,37.38,5,0,0.145,5
321,16615,44.36,3,1,0.319,4
300,4406,18.18,1,1,0.23,5
308,4575,37.36,4,1,0.688,3
156,12361,39.66,3,1,0.779,2
114,15437,30.28,3,1,0.65,3
148,16660,22.68,4,0,0.37,4
60,311,44.48,2,1,0.709,3
240,10439,11.51,1,0,0.475,4
84,13866,28.25,2,1,0.694,3
386,10932,14.3,2,1,0.384,4
135,753,19.74,1,0,0.504,3
23,18348,18.61,2,1,0.635,3
206,1179,36.17,4,1,0.775,2
9,11212,21.72,1,1,0.915,1
290,17299,74.91,4,1,0.59,3
376,3011,30.77,3,1,0.598,3
144,17533,39.61,4,0,0.253,4
291,14889,31.2,4,0,0.337,4
93,6072,38.73,4,0,0.288,4
206,9840,33.93,3,0,0.775,2
137,2405,73.48,5,0,0.403,4
184,5691,17.49,1,1,0.808,2
28,8909,59.39,3,1,0.604,3
195,10362,15.77,3,1,0.544,3
10,7258,23.73,2,1,0.652,3
41,6392,16.05,2,1,0.767,2
57,2365,25.74,2,1,0.685,3
337,10243,30.69,1,0,0.379,4
168,10819,20.64,2,1,0.329,4
57,19164,26.91,2,1,0.685,3
133,7972,60.63,5,0,0.377,4
179,11001,20.94,3,1,0.655,3
57,4171,75.25,5,0,0.685,3
441,16092,41.51,4,0,0.439,4
147,741,9.17,1,1,0.459,4
342,6191,43.61,3,1,0.428,4
93,11690,39.6,3,1,0.288,4
17,15443,9.14,2,0,0.276,4
79,14397,15.38,2,0,0.719,3
489,12677,103.49,3,1,0.795,2
499,1975,30.74,4,0,0.239,5
112,8209,11.61,1,1,0.416,4
178,12803,20.8,1,0,0.619,3
278,14178,46.61,3,1,0.739,3
357,14188,37.59,3,0,0.233,5
164,6295,43.6,3,0,0.475,4
369,10221,44.09,5,0,0.572,3
95,16441,91.76,5,0,0.449,4
363,12886,37.91,4,1,0.378,4
64,16016,33.55,2,1,0.463,4
146,5408,31.19,3,1,0.509,3
483,19351,32.36,2,1,0.205,5
42,19626,23.34,3,0,0.145,5
7,7934,26.96,2,1,0.217,5
247,9707,23.62,1,1,0.751,2
106,11832,18.56,2,0,0.384,4
61,12131,30.86,5,0,0.29,4
463,18705,60.27,4,0,0.39,4
333,9946,41.43,4,0,0.437,4
500,10919,32.38,4,0,0.332,4
198,16417,80.5,5,0,0.511,3
66,3379,27.47,2,1,0.427,4
352,1824,15.29,2,1,0.506,3
414,8219,18.82,2,0,0.778,2
254,17453,49.18,3,0,0.717,3
342,13139,44.71,2,1,0.428,4
443,8874,12.35,2,1,0.708,3
492,5495,18.73,2,0,0.231,5
157,19067,28.51,4,0,0.656,3
188,18523,51.25,3,1,0.632,3
266,15598,67.19,4,0,0.672,3
131,19185,37.83,2,1,0.499,4
303,18213,21.86,2,1,0.936,1
200,18377,12.15,1,1,0.661,3
9,10935,14.31,2,1,0.915,1
155,17504,28.64,3,0,0.36,4
449,18221,33.9,2,0,0.697,3
259,15763,59.71,3,0,0.668,3
361,16380,28.58,2,0,0.544,3
491,10523,24.6,2,1,0.431,4
104,18486,34.53,3,0,0.596,3
9,3582,38.95,1,1,0.915,1
430,6188,33.52,3,1,0.504,3
125,16750,28.34,2,0,0.726,3
13,10395,25.81,2,1,0.721,3
448,12533,47.81,4,0,0.552,3
437,14571,49.29,4,0,0.24,5
13,373,31.06,2,1,0.721,3
251,5415,12.74,1,0,0.211,5
176,2291,41.58,2,0,0.462,4
35,1546,52.78,4,0,0.726,3
355,15078,29.82,2,1,0.585,3
141,19566,46.68,2,0,0.491,4
28,17429,51.33,3,0,0.604,3
370,14360,30.0,4,1,0.592,3
278,15926,18.92,2,1,0.739,3
128,16698,43.19,3,1,0.31,4
195,5046,20.84,2,1,0.544,3
253,6769,44.11,2,1,0.552,3
351,17407,17.86,2,0,0.347,4
363,698,56.71,3,0,0.378,4
188,15632,28.21,3,1,0.632,3
151,2952,41.17,3,0,0.403,4
92,6583,10.3,1,1,0.738,3
408,7399,29.45,3,1,0.332,4
333,1901,27.62,2,1,0.437,4
338,8776,62.01,4,0,0.252,4
141,10671,53.6,4,1,0.491,4
57,7033,46.29,4,0,0.685,3
400,9558,15.34,1,1,0.543,3
385,12711,17.89,2,1,0.589,3
201,18124,32.59,3,1,0.355,4
472,15741,46.14,3,0,0.396,4
272,19932,22.28,2,1,0.529,3
62,3960,17.19,2,1,0.462,4
89,17908,45.87,5,0,0.22,5
415,5211,51.8,4,1,0.563,3
145,3949,38.05,5,0,0.443,4
80,11161,22.89,3,0,0.806,2
272,11644,30.91,3,0,0.529,3
334,7015,59.28,4,1,0.501,3
134,4450,25.85,2,0,0.338,4
275,17124,35.26,2,0,0.476,4
130,14778,20.32,2,1,0.544,3
193,14755,47.54,4,0,0.416,4
37,1510,39.81,3,0,0.35,4
96,17665,60.25,4,1,0.578,3
191,5814,15.88,2,0,0.274,4
483,1156,12.64,1,1,0.205,5
143,1624,43.9,2,1,0.778,2
126,19240,9.21,1,0,0.433,4
2,19879,38.86,2,0,0.223,5
4,7626,23.26,3,1,0.404,4
428,3965,29.73,3,0,0.316,4
120,1843,24.27,5,0,0.703,3
258,8777,11.5,1,1,0.272,4
135,10447,30.24,4,1,0.504,3
284,3123,44.28,4,0,0.746,3
87,5627,33.35,4,0,0.519,3
311,9675,53.35,4,0,0.552,3
333,13664,17.62,1,1,0.437,4
324,16344,31.06,4,0,0.715,3
110,6904,26.95,3,1,0.563,3
87,4343,17.43,1,1,0.519,3
400,18530,41.95,4,1,0.543,3
340,6138,47.77,2,0,0.406,4
342,10169,54.72,4,0,0.428,4
109,6303,18.36,1,1,0.512,3
498,4265,31.58,2,1,0.534,3
194,387,50.89,4,1,0.571,3
95,8893,40.52,3,1,0.449,4
174,944,40.5,3,0,0.758,2
290,772,15.63,1,1,0.59,3
320,14852,19.42,2,1,0.651,3
65,14312,38.62,3,1,0.299,4
322,16697,15.27,2,0,0.104,5
283,5040,44.38,4,0,0.535,3
192,13406,50.33,3,1,0.718,3
68,1212,44.99,3,0,0.704,3
97,6417,15.7,2,1,0.678,3
237,7167,38.29,2,1,0.287,4
426,211,24.81,3,0,0.265,4
12,3490,66.43,4,0,0.359,4
189,7077,33.97,2,1,0.142,5
210,17526,34.15,4,0,0.42,4
481,12795,30.73,3,0,0.487,4
274,6702,12.14,2,1,0.582,3
468,7411,39.14,3,0,0.712,3
357,135,94.24,5,0,0.233,5
106,5904,10.03,2,1,0.384,4
100,16029,48.58,2,1,0.657,3
149,9395,45.75,4,1,0.514,3
380,17203,27.41,2,1,0.787,2
327,13808,13.84,1,0,0.396,4
70,13542,42.09,4,0,0.166,5
75,8509,28.67,2,1,0.499,4
229,4541,106.69,5,0,0.651,3
56,1468,43.48,3,1,0.278,4
90,17162,38.7,3,0,0.462,4
477,10276,29.9,4,0,0.564,3
246,11872,43.21,4,1,0.418,4
93,8974,50.73,3,0,0.288,4
432,13965,25.42,2,1,0.486,4
361,8179,15.68,2,1,0.544,3
57,4117,40.64,3,1,0.685,3
190,923,24.24,2,1,0.487,4
495,2978,10.45,2,1,0.771,2
116,1996,27.24,3,0,0.278,4
492,13385,33.88,3,0,0.231,5
233,11819,19.06,2,0,0.368,4
463,19502,37.95,4,1,0.39,4
168,11602,23.92,2,1,0.329,4
270,2889,39.56,5,0,0.479,4
234,7592,37.38,3,1,0.86,2
476,4254,61.27,5,0,0.659,3
298,12202,42.98,3,1,0.493,4
208,6345,59.67,4,1,0.143,5
481,8321,23.86,2,0,0.487,4
58,18246,19.54,2,1,0.587,3
427,12528,24.25,2,1,0.49,4
450,12417,38.66,4,0,0.272,4
423,9467,32.98,3,1,0.76,2
177,13207,12.82,2,1,0.375,4
53,7988,36.88,4,0,0.05,5
259,4601,42.87,3,1,0.668,3
141,9966,12.03,1,1,0.491,4
118,4740,29.62,4,0,0.324,4
276,10370,42.37,3,0,0.462,4
482,17792,16.03,2,1,0.189,5
212,3710,48.03,3,0,0.516,3
69,13127,36.3,1,0,0.66,3
355,2587,88.11,5,0,0.585,3
395,3616,16.54,5,0,0.451,4
265,13513,46.02,3,1,0.299,4
431,5464,28.84,3,0,0.217,5
7,4524,13.51,2,0,0.217,5
282,10463,40.49,3,1,0.453,4
59,2859,21.48,2,1,0.674,3
382,4255,15.6,1,1,0.513,3
262,10233,39.59,3,0,0.354,4
196,2936,51.01,4,0,0.34,4
337,5163,72.07,4,0,0.379,4
298,9006,24.68,3,1,0.493,4
239,7025,50.86,5,0,0.568,3
72,1173,32.53,3,0,0.494,4
219,5770,47.52,3,0,0.15,5
305,6303,37.72,3,1,0.541,3
432,3656,8.48,1,1,0.486,4
388,9546,76.93,4,0,0.5,3
68,7215,69.72,3,1,0.704,3
79,4365,31.94,3,1,0.719,3
374,9237,52.14,4,1,0.267,4
391,3863,75.63,5,0,0.45,4
277,6140,54.76,5,0,0.361,4
493,9984,59.99,5,0,0.599,3
75,10091,58.53,4,1,0.499,4
497,14311,52.03,5,0,0.598,3
81,15958,42.77,5,0,0.868,2
180,13411,29.14,2,0,0.247,5
8,14371,61.95,5,0,0.824,2
130,1180,26.02,3,0,0.544,3
499,13781,32.96,3,0,0.239,5
52,14411,13.08,1,1,0.466,4
245,4580,11.51,2,0,0.69,3
380,17819,30.07,2,1,0.787,2
224,16754,15.12,2,0,0.396,4
342,16260,23.34,2,1,0.428,4
180,19651,42.22,4,0,0.247,5
346,61,48.61,3,1,0.67,3
39,19925,26.76,2,1,0.483,4
122,1139,42.49,4,1,0.731,3
404,10793,32.73,5,0,0.508,3
435,4701,32.76,1,1,0.303,4
237,7143,11.88,1,1,0.287,4
302,1389,43.64,3,1,0.441,4
105,18470,16.53,2,0,0.441,4
485,14868,31.38,3,0,0.889,2
238,10852,46.73,5,0,0.633,3
188,16031,12.62,2,1,0.632,3
360,8012,37.72,2,1,0.763,2
416,12577,14.35,1,1,0.34,4
115,18,44.6,5,1,0.466,4
422,13180,34.1,2,0,0.3,4
407,5435,31.85,3,1,0.721,3
186,19380,20.03,2,0,0.292,4
228,2494,48.11,3,0,0.326,4
77,13019,23.58,1,0,0.464,4
